act_set,lang,layer,mm_train_acc,mm_test_acc,mm_nat_roc_auc,mm_nat_bal_acc,lr_train_acc,lr_test_acc,lr_nat_roc_auc,lr_nat_bal_acc
avg_final,russian,28,1.0,1.0,0.5,0.5,1.0,1.0,0.8273467432950192,0.6063218712806702
avg_final,russian,29,1.0,1.0,0.5,0.5,1.0,1.0,0.7394636015325671,0.7313218116760254
avg_final,russian,30,1.0,1.0,0.5,0.5,1.0,1.0,0.8647030651340997,0.6448755264282227
avg_final,russian,31,1.0,1.0,0.5,0.5,1.0,1.0,0.8599137931034483,0.6192528605461121
avg_final,russian,32,1.0,1.0,0.5,0.5,1.0,1.0,0.8045977011494253,0.8170498013496399
avg_final,russian,33,1.0,1.0,0.5,0.5,1.0,1.0,0.7914272030651341,0.7588601112365723
avg_final,russian,34,1.0,1.0,0.5,0.5,1.0,1.0,0.7277298850574713,0.6616379022598267
avg_final,russian,35,1.0,1.0,0.5,0.5,1.0,1.0,0.6307471264367815,0.5301724076271057
avg_final,spanish,5,1.0,1.0,0.6758365508365509,0.5,1.0,1.0,0.699967824967825,0.5
avg_final,spanish,6,1.0,1.0,0.6787323037323038,0.6340090036392212,1.0,1.0,0.7221685971685972,0.5
avg_final,spanish,7,1.0,1.0,0.6948198198198198,0.5,1.0,1.0,0.7392213642213642,0.5
avg_final,spanish,8,1.0,1.0,0.5744047619047618,0.5,1.0,1.0,0.7298906048906049,0.5
avg_final,spanish,9,1.0,1.0,0.5,0.5,1.0,1.0,0.6574967824967826,0.5
avg_final,spanish,10,1.0,1.0,0.5,0.5,1.0,1.0,0.6515444015444016,0.5534105896949768
avg_final,spanish,11,1.0,1.0,0.5,0.5,1.0,1.0,0.6716537966537967,0.5
